Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.71,1.25,1.39,1.14,G8IV,14.19455,1
6.42,109.21,0.78,0.754,G8Vp,21.611313,1
7.45,6.46,0.78,0.262,A5III,16.501163,0
8.53,2.47,0.89,0.017,B9.5V,15.4934845,1
6.39,5.42,0.55,1.182,K1/K2IIICN.,15.059996,0
7.72,5.06,0.97,1.582,K3III,16.240751,0
7.78,-0.11,0.89,0.008,B8II,7.9869637,0
3.82,9.76,0.54,1.613,M0IIIvar,13.767249,0
9.59,9.8,1.01,0.659,G3/G5V,19.546131,1
8.12,5.07,0.91,1.315,K2III,16.645039,0
8.89,2.75,1.31,0.062,B2.5V,16.086664,1
8.53,5.97,1.01,0.245,A8V,17.40987,1
8.97,3.14,1.1,-0.08,B9V,16.454649,1
8.32,3.69,0.84,0.936,G6III,16.155132,0
5.93,16.89,0.73,0.164,A4Vn,17.068148,1
9.42,4.12,1.35,0.434,F2V,17.494486,1
8.93,2.97,0.82,0.039,A0V,16.293781,1
9.21,7.13,0.91,0.628,G2V,18.475449,1
9.63,11.88,2.21,0.616,G3V,20.004082,1
9.18,1.31,0.89,0.321,F0V,14.766357,1
8.48,3.56,1.04,0.747,G3/G5V,16.23725,1
7.64,12.99,0.96,0.461,F8III,18.208046,0
7.08,6.36,0.81,1.269,K2III,16.097286,0
9.35,5.9,1.12,0.646,G2V,18.204262,1
6.79,21.25,0.58,0.534,F7V,18.426796,1
7.4,4.44,0.73,1.116,K1II,15.636915,0
7.47,5.94,0.9,0.925,G8III,16.338932,0
7.53,4.28,0.87,1.129,K1III,15.68722,0
9.09,11.5,1.25,0.738,G5V,19.39349,1
8.21,2.93,0.84,0.068,A0V,15.544338,1
6.49,12.9,0.49,0.12,A3V,17.04295,1
8.69,25.82,1.14,0.817,K0III,20.749783,0
9.41,8.55,1.68,0.618,G1V,19.06983,1
9.97,6.1,2.29,0.5,F7V,18.896648,1
8.69,9.14,1.03,0.532,F7V,18.494732,1
7.05,6.61,0.68,0.543,F5IV,16.151009,1
7.03,18.9,0.93,0.441,F3V,18.41231,1
8.36,1.75,0.87,0.952,K0III,14.57519,0
7.95,13.18,1.1,0.558,F7V,18.549576,1
7.76,4.54,0.83,0.725,G1II/III,16.04528,0
7.05,-0.02,1.01,1.289,G3Ib,3.5551498,0
7.43,2.7,0.96,1.797,K4/K5III,14.586819,0
9.63,3.96,1.77,1.18,G8III,17.618477,0
6.68,2.03,1.04,-0.072,B9Vn,13.21748,1
9.21,38.92,1.38,1.16,K4V,22.160864,1
5.24,4.99,0.74,-0.088,B7V,13.730503,1
8.36,12.09,1.11,0.574,F8/G0V,18.772131,1
7.41,1.19,0.92,1.503,M0III,12.787735,0
7.18,2.65,0.61,1.337,K2III,14.296229,0
7.73,5.2,0.67,0.054,A1V,16.310017,1
6.84,6.27,0.75,0.861,G5III,15.826338,0
6.82,4.24,0.8,-0.124,B5IV/V,14.956829,1
9.12,6.91,1.44,0.606,G3V,18.31739,1
11.82,10.33,4.37,1.305,K7V:,21.890501,1
8.02,7.81,0.61,0.337,F0IV,17.483255,1
7.26,7.2,0.88,0.082,A0V,16.546661,1
5.0,20.14,0.46,1.156,K2III,16.520298,0
7.55,3.74,0.71,1.45,K3III,15.414358,0
6.33,4.82,0.76,1.238,K2III,14.745235,0
7.09,6.8,0.96,1.438,K3III,16.252544,0
9.23,5.52,1.25,0.368,A1V,17.939695,1
7.97,2.06,0.77,-0.162,B2III/IV,14.539335,1
8.74,2.06,1.21,0.438,F2V,15.309336,1
8.24,7.56,1.05,0.597,G0III,17.632608,0
7.58,4.14,1.08,1.195,K0/K1III,15.665002,0
8.24,5.8,1.19,0.237,F0Vn,17.05714,1
8.04,12.14,1.02,0.57,G0V,18.461094,1
9.35,1.41,1.51,0.884,O8.5V:,15.096096,1
8.79,13.1,0.89,0.617,G0V,19.376358,1
8.88,1.28,1.02,0.05,B9V,14.41605,1
8.5,17.21,1.39,0.637,G3V,19.678904,1
8.36,10.16,1.15,0.97,K0III,18.394466,0
5.91,16.86,0.83,0.537,F8V,17.044289,1
9.03,7.73,1.4,0.617,G3V,18.470898,1
10.7,26.41,2.15,1.294,M0V:,22.808842,1
7.84,2.71,0.66,0.057,A0V,15.004847,1
8.2,5.75,1.06,1.011,K0III,16.99834,0
8.52,10.11,1.51,0.596,G0V,18.543756,1
8.99,3.95,1.31,0.439,F5V,16.972984,1
7.36,4.25,0.72,0.993,K0III,15.5019455,0
9.1,21.57,1.27,0.764,G8/K0V,20.76925,1
7.75,7.01,1.04,0.527,F8III,16.97859,0
9.18,4.17,2.74,1.246,K1III,17.280682,0
7.92,2.91,0.67,0.203,A6III,15.239465,0
7.13,9.05,0.68,0.134,A1V,16.913242,1
10.59,-4.78,4.18,0.962,F9Ib,18.98714,0
7.05,2.21,0.83,1.982,K5Iab:,13.771961,0
8.78,7.44,1.57,0.561,F8V,18.137863,1
8.86,8.13,1.6,0.447,F5V,18.410454,1
6.85,4.57,0.82,0.039,A1III/IV,15.14958,1
6.25,6.29,0.8,0.019,A2V,15.243253,1
8.34,17.0,0.82,0.619,G4V,19.492245,1
6.08,5.48,0.54,1.205,K2III,14.773903,0
9.15,0.77,1.38,-0.021,B8V,13.582453,1
8.96,2.81,0.83,1.259,K2/K3III:,16.203533,0
8.73,1.81,0.97,0.909,G5III,15.018393,0
8.55,20.76,1.25,0.758,K0V,20.136137,1
8.0,4.54,0.79,0.036,B9.5IV,16.285278,1
8.77,13.57,0.81,0.448,F5V,19.4329,1
8.65,26.3,1.66,0.848,K0IV-V,20.749779,1
8.39,2.48,0.65,1.393,K4III,15.362259,0
7.59,4.06,1.03,1.444,K4III,15.63263,0
6.79,1.81,0.78,1.684,M0/M1III,13.078392,0
7.87,2.81,0.96,0.054,A0IV/V,15.113532,1
9.84,2.96,1.32,0.174,A2V,17.196459,1
9.37,34.75,1.5,1.211,K2:V,22.074774,1
8.63,15.27,1.11,0.538,G0V,19.549194,1
9.01,4.65,1.41,1.125,G8/K0III,17.347265,0
8.68,1.97,0.78,0.95,G6III,15.152331,0
7.46,20.56,0.81,0.509,F8V,19.025116,1
8.83,1.62,1.06,0.953,G8/K0IIIp..,14.877575,0
8.86,3.69,1.3,0.194,A2IV,16.695131,1
6.23,2.97,0.95,-0.071,B2.5Ve,13.593782,1
5.75,7.67,0.7,1.327,K2/K3III,15.173977,0
6.26,25.24,1.34,0.397,F3V:,18.270447,1
9.18,9.56,1.35,0.725,G5V:,19.08229,1
8.71,2.82,1.3,1.06,K0III,15.961246,0
6.63,2.26,0.57,1.682,M2III,13.400542,0
9.47,0.09,1.14,-0.026,B9III/IV,9.241213,1
8.52,10.24,1.45,0.826,G8V,18.571499,1
8.99,1.02,0.77,1.114,G8III,14.033001,0
8.55,2.69,1.19,1.491,K4III,15.698762,0
9.35,0.97,1.34,-0.16,B2III/IV,14.283859,1
8.55,11.23,0.95,0.58,G2V,18.801899,1
7.99,3.39,1.31,0.983,G8IV,15.640999,1
7.03,0.33,1.0,1.454,G5Ib,9.62257,0
2.34,41.07,0.6,0.033,A1V,15.407623,1
8.84,7.97,0.94,0.913,G8/K0III,18.347292,0
7.26,2.05,0.52,-0.035,B5V,13.818769,1
10.24,6.8,2.53,0.624,G2/G3V:,19.402544,1
8.8,2.05,0.92,1.244,K2III,15.358769,0
7.35,4.17,0.65,0.929,K0/K1III+..,15.45068,0
8.36,1.5,0.87,0.05,A0V,14.240456,1
7.55,3.44,0.61,1.082,K0II,15.232792,0
7.88,8.14,0.78,0.407,F3V,17.433123,1
6.87,1.11,0.92,-0.152,B1/B2III,12.096615,0
9.8,3.68,1.46,0.455,F2V,17.62924,1
7.86,18.93,1.06,0.678,G2IV,19.245754,1
7.62,1.09,0.84,0.113,B7/B8II,12.807133,0
8.41,2.28,1.02,1.217,K2III,15.199675,0
8.91,12.04,0.76,0.566,F7V,19.313133,1
6.89,0.89,0.79,1.767,M0/M1II,11.63695,0
8.12,2.72,1.05,0.182,A4III,15.292845,0
5.55,6.34,0.64,1.27,K3III,14.560447,0
8.77,2.64,1.09,1.263,K1III,15.87802,0
8.39,5.06,1.78,1.095,K0III,16.910751,0
4.93,20.5,0.94,0.037,A1V,16.48877,1
7.81,11.64,1.06,0.512,F5V,18.139765,1
9.19,0.05,1.0,0.918,G6III,7.6848493,0
9.35,1.76,0.93,1.1,G6IV,15.577564,1
7.87,2.11,0.8,-0.022,B9.5III/IV,14.491412,1
6.65,6.14,0.96,0.248,F0III,15.590841,0
7.12,38.21,2.12,0.608,G2V,20.030886,1
8.94,10.8,1.45,0.747,G5V,19.10712,1
8.35,14.01,0.68,0.51,F5V,19.082191,1
9.33,2.59,1.35,0.954,G6/G8V,16.3965,1
6.37,2.92,0.95,0.851,G5III,13.696914,0
8.85,-1.96,1.42,1.373,K3III,15.311281,0
7.29,2.98,0.71,1.602,M2III,14.661081,0
8.97,9.23,1.19,0.644,G5V,18.79601,1
8.15,3.83,0.64,0.064,A0V,16.065994,1
4.78,14.96,0.7,0.048,A2V,15.654657,1
7.71,5.56,0.96,0.159,A3IV/V,16.435375,1
6.16,3.79,0.81,1.644,M0/M1III,14.053196,0
6.22,12.36,0.51,0.461,F5IV,16.680092,1
9.06,6.26,1.3,0.466,F2V,18.042873,1
8.57,2.27,1.29,1.129,K0III,15.350128,0
8.76,2.07,0.73,1.125,K1III,15.339851,0
9.8,12.81,5.81,0.665,G3V,20.337746,1
8.64,10.3,1.02,0.471,F5V,18.704187,1
8.97,4.56,0.76,0.287,A9/F0IV,17.264824,1
6.24,2.66,0.85,-0.08,B8/B9II,13.3644085,0
8.45,3.23,1.15,1.117,G8III,15.996012,0
8.67,2.61,0.75,1.375,K2III,15.753202,0
8.37,1.35,0.84,1.525,K4III,14.021669,0
8.34,3.79,1.09,1.125,K0III,16.233196,0
5.76,8.98,0.73,0.97,G6III,15.526382,0
8.27,1.51,0.95,1.37,K1III,14.1648855,0
9.34,6.54,0.99,0.622,F0V,18.417889,1
6.33,17.15,0.78,0.461,F6V,17.50132,1
6.18,4.05,0.57,1.607,M3III,14.217276,0
9.18,3.13,1.15,1.276,K2III:,16.657722,0
9.8,29.76,1.55,1.125,K4V,22.168163,1
6.6,7.19,0.74,1.141,K1III,15.883644,0
7.35,4.04,1.0,1.16,K1III,15.3819065,0
7.25,4.86,1.03,0.38,A9IV/V+...,15.683181,1
6.14,1.88,0.61,-0.032,B4:Vne,12.51079,1
8.56,2.29,1.06,0.95,K1III+...,15.359179,0
9.2,8.49,4.5,0.605,G1V,18.844538,1
7.08,3.46,0.7,-0.02,B9/B9.5V,14.77538,1
9.08,1.28,1.27,1.453,M3III,14.61605,0
7.16,0.82,0.62,0.241,O9III,11.729069,0
5.85,14.74,0.51,0.073,A2V,16.692488,1
6.36,6.09,0.53,0.906,G8II/III,15.283087,0
8.21,9.28,1.01,0.371,A8IV,18.04774,1
7.25,2.97,0.64,0.872,G0Iab,14.613782,0
8.86,38.07,2.27,1.068,K4V,21.762913,1
8.55,10.93,1.29,0.506,F5/F6V,18.743101,1
4.66,13.32,0.81,0.964,G8/K0III,15.28252,0
6.43,23.64,1.07,0.603,G2V,18.298237,1
6.97,3.63,0.78,1.693,M2III,14.769533,0
9.12,6.0,0.82,0.314,A9V,18.010757,1
7.83,4.49,0.87,1.099,K1III,16.091232,0
8.32,12.21,0.95,0.521,F6/F7V,18.753578,1
6.16,2.84,0.8,-0.137,B2III,13.426592,0
8.35,0.28,1.2,1.614,K5III,10.585791,0
7.87,1.84,0.72,1.47,K4III,14.194089,0
4.47,2.8,0.51,-0.18,B1Vp + B2,11.70579,1
7.26,3.0,1.06,1.367,K1III,14.645607,0
4.78,14.77,0.47,1.254,K2III,15.626904,0
8.1,1.5,1.08,1.227,K1III,13.980456,0
8.28,11.59,0.92,0.476,F5V,18.600418,1
8.06,3.67,0.93,0.903,G8III,15.88333,0
7.88,6.53,0.94,0.328,F0V,16.954567,1
6.57,11.36,0.52,0.088,A2V,16.846891,1
6.42,17.8,0.53,0.55,F8V,17.6721,1
9.92,1.05,1.41,0.017,B9Ib,15.025947,0
8.75,4.39,1.3,0.44,F2V,16.962322,1
9.66,2.32,0.86,1.054,K0III,16.48744,0
9.7,12.19,1.52,0.877,K0/K1III,20.13002,0
9.0,5.17,0.97,0.458,F5IV/V,17.567451,1
9.21,2.35,1.23,1.532,K2/K3III:,16.06534,0
10.33,1.99,1.67,0.287,A8III,16.824265,0
5.64,11.15,0.7,1.121,K0III,15.876373,0
8.6,4.28,0.97,0.097,A0IV/V,16.75722,1
8.42,5.62,1.23,0.74,G3IV,17.168682,1
8.99,1.91,0.89,1.217,K2III,15.395166,0
7.45,3.17,0.63,1.45,M5/M6III,14.9552965,0
7.81,4.56,0.68,0.966,G8III,16.104824,0
8.09,3.08,0.87,0.994,K0III,15.532753,0
8.48,15.56,1.25,0.63,G3/G5V,19.440048,1
6.53,-0.07,0.73,0.245,B0.5III,5.7554903,0
8.74,1.89,0.88,0.012,B9V,15.122309,1
7.11,1.7,0.87,0.323,B8IV/V,13.262245,1
8.37,4.54,1.13,1.015,G8III,16.65528,0
7.52,4.88,0.9,1.089,K0III,15.962099,0
8.3,5.04,1.18,0.727,F6III,16.812153,0
9.86,6.32,3.97,1.6,K1III:,18.863586,0
7.89,11.6,1.1,0.529,F7V,18.21229,1
7.22,0.42,1.57,0.029,B4II/III,10.3362465,0
8.76,2.59,1.21,1.05,K1IIICN...,15.826499,0
7.05,6.42,0.85,0.076,A2V,16.087675,1
7.47,11.36,0.68,0.436,F5/F6V,17.746891,1
5.12,10.55,0.69,-0.06,A3V,15.236262,1
6.82,3.9,0.79,1.425,K3III,14.775324,0
10.93,-1.3,1.97,0.866,K2V,16.499718,1
6.14,7.03,0.89,1.461,K5III,15.374777,0
7.88,1.07,0.72,1.86,K2Ib BaO,13.026918,0
5.43,33.48,0.93,0.364,F0V,18.053928,1
7.65,2.39,0.99,1.22,K1III,14.54199,0
6.56,2.78,0.78,1.63,K5/M0III,13.780224,0
8.99,8.95,1.28,0.595,F8V,18.749115,1
8.32,4.11,1.07,1.051,K0III,16.38921,0
8.1,1.8,1.35,1.401,K3III,14.376363,0
7.83,3.62,0.93,0.33,A9II,15.623543,0
9.22,10.07,2.48,0.73,G6IV,19.235146,1
7.59,3.43,1.08,1.63,M1/M2III,15.26647,0
6.38,18.42,1.61,0.547,F7V,17.706448,1
8.45,5.13,1.99,0.976,K1III,17.000587,0
7.78,3.02,1.03,0.798,G8/K0III+..,15.180035,0
7.89,8.84,1.47,0.516,F6V,17.622261,1
8.59,1.9,0.76,1.04,K1/K2IIIp,14.983768,0
7.96,3.37,1.13,-0.01,B5III,15.598149,0
7.34,3.8,1.1,-0.1,B6V,15.238918,1
8.78,0.83,0.97,1.849,M0III:,13.37539,0
9.15,1.71,1.75,1.41,M1Ib+...,15.31498,0
6.21,5.66,0.74,0.131,B7V,14.974082,1
8.3,4.86,1.27,0.297,F8V,16.733181,1
8.83,3.5,0.78,0.414,F0II,16.55034,0
6.42,2.85,0.93,1.752,M2III,13.694224,0
8.57,9.21,1.08,0.463,F5V,18.391298,1
8.95,-0.47,0.89,1.522,K2IV,12.31049,1
5.8,9.54,0.76,0.04,A2V,15.697742,1
7.74,3.88,1.08,1.537,K4III,15.684158,0
8.97,10.21,0.86,0.655,G3V,19.01513,1
9.15,1.58,1.25,1.774,K2V,15.143286,1
9.38,9.93,1.76,1.169,F7/F8V,19.364746,1
7.46,2.54,0.7,0.005,B4V,14.484169,1
8.95,1.93,2.11,0.774,G8:III+...,15.377787,0
8.6,2.93,0.86,1.366,K3III,15.934339,0
7.72,4.99,0.83,1.163,K0IIICN,16.210503,0
8.33,12.38,1.23,0.431,F5IV,18.793602,1
8.37,1.98,1.17,0.78,B0.5Ia,14.853326,0
8.99,5.88,1.21,0.31,A5II,17.836887,0
8.1,2.55,1.11,0.1,B9IV/V,15.132701,1
9.17,2.17,1.36,0.331,F0V,15.852299,1
8.38,3.66,0.91,1.24,K1/K2III,16.197407,0
8.31,2.19,1.11,1.743,M2II:,15.01222,0
8.4,3.77,0.87,1.302,K2III,16.281708,0
5.83,41.39,3.2,0.467,F5V,18.914478,1
7.47,3.08,1.5,0.0,B3IV,14.912753,1
9.17,2.74,0.99,1.2,K1III,16.358753,0
9.96,13.45,1.4,0.823,G8V,20.603611,1
7.01,3.92,0.79,1.374,K3III,14.976431,0
8.99,1.89,1.29,1.089,G8/K0III,15.372309,0
7.55,1.81,1.04,1.338,K3III,13.838392,0
8.51,2.47,1.22,1.216,K1IIICN...,15.473485,0
8.41,-0.45,1.06,0.399,B1/B2II/III,11.676063,0
8.3,4.4,1.02,0.24,A3V,16.517263,1
9.29,0.52,0.94,1.441,K2IV,12.870016,1
8.36,2.57,0.95,1.465,K1III,15.409665,0
10.6,-0.43,1.28,0.004,B8Ia,13.767343,0
7.38,4.48,0.59,1.062,G8III,15.63639,0
